グループ,グループ_en,サービス名,サービス名_en,説明,説明_en,公開
暮らし・作業のサービス,Home & practical work,造園作業,Gardening,草刈り・草むしりから砂利敷き、落ち葉の掃除まで。お庭まわりの作業を承ります。,"Mowing, weeding, gravel laying and clearing fallen leaves — general work around the garden.",TRUE
暮らし・作業のサービス,Home & practical work,引越し・運搬,Moving & transport,単身・オフィス・夜間・遠方の引越しや、荷物の運搬に対応します。,"Single-person, office, night-time and long-distance moves, plus general transport of goods.",TRUE
暮らし・作業のサービス,Home & practical work,不用品回収,Unwanted item collection,家具・家電・衣類・残置物など、不要になったものをまとめて回収します。,"Furniture, appliances, clothing and leftover items collected together.",TRUE
暮らし・作業のサービス,Home & practical work,エアコン関係,Air conditioner work,取り外し・取り付け・移設・ガス充填・点検に対応します。,"Removal, installation, relocation, gas charging and inspection.",TRUE
暮らし・作業のサービス,Home & practical work,荷物運び,Heavy lifting,階段での運搬、積み込み補助、吊り上げ・吊り下げ、重量物の移動など。,"Carrying up stairs, loading assistance, hoisting and moving heavy items.",TRUE
暮らし・作業のサービス,Home & practical work,家具組み立て,Furniture assembly,IKEAやLOWYAなどの家具を組み立てます。説明書がなくても対応可能です。,"Assembly of IKEA, LOWYA and similar furniture — even without the instructions.",TRUE
暮らし・作業のサービス,Home & practical work,ゴミ屋敷片付け,Hoarded home clearance,片付けから全回収、清掃・消臭まで。お部屋をリセットします。,"Clearing, full removal, cleaning and deodorising to reset the room.",TRUE
暮らし・作業のサービス,Home & practical work,遺品整理・生前整理,Estate & pre-death clearance,仕分け、残置物の回収、清掃まで一貫して承ります。,"Sorting, removal of remaining items and cleaning, all handled together.",TRUE
暮らし・作業のサービス,Home & practical work,各種工事,Construction work,塗装・屋根・電気・修繕・大工・水道・室内工事などに対応します。,"Painting, roofing, electrical, repairs, carpentry, plumbing and interior work.",TRUE
暮らし・作業のサービス,Home & practical work,DIYサービス,DIY service,棚づくりや店舗・室内のDIY、オーダーメイドのご相談も承ります。,"Shelving, shop and interior DIY, plus made-to-order requests.",TRUE
暮らし・作業のサービス,Home & practical work,清掃・消臭,Cleaning & deodorising,お部屋や店舗の清掃、ペット臭の消臭、大掃除、高圧洗浄など。,"Cleaning homes and shops, pet odour removal, deep cleans and pressure washing.",TRUE
暮らし・作業のサービス,Home & practical work,害虫・害獣駆除,Pest control,ゴキブリ・ハチ・ネズミの駆除、野良猫対策などに対応します。,"Cockroaches, wasps and rodents, plus measures against stray cats.",TRUE
サポート・相談のサービス,Support & consultation,代行サービス,Errand services,買物・電話・受取・立会い・代理出席・場所取りなどを代わりに行います。,"Shopping, phone calls, collections, attending on your behalf and holding places in queues.",TRUE
サポート・相談のサービス,Support & consultation,同行サービス,Accompaniment,一人では行きにくい場所へ同行します。病院、お墓参り、遠方への外出など。,"We come with you to places that are hard to face alone — hospitals, graves, trips far from home.",TRUE
サポート・相談のサービス,Support & consultation,トラブル解決,Trouble resolution,近隣トラブル、騒音、人間関係のお悩みなどのご相談を承ります。,"Neighbour disputes, noise problems and difficulties with personal relationships.",TRUE
サポート・相談のサービス,Support & consultation,悩み相談,Someone to talk to,話を聞いてほしい、どうしていいかわからない。そんなときにご相談ください。,"When you just need someone to listen, or do not know what to do next.",TRUE
サポート・相談のサービス,Support & consultation,インターネット作業,Internet & devices,Wi-Fi接続、パソコン・スマホの操作、公式LINE作成などをお手伝いします。,"Wi-Fi setup, help with computers and smartphones, and setting up official LINE accounts.",TRUE
サポート・相談のサービス,Support & consultation,ペット関係,Pet support,里親探し、迷子のペット探し、餌やり、保護などに対応します。,"Finding new homes, searching for lost pets, feeding and rescue.",TRUE
サポート・相談のサービス,Support & consultation,撮影・動画編集,Photo & video,記念撮影、ドローン空撮、記念動画の作成、動画編集を承ります。,"Commemorative photography, drone footage, memorial videos and editing.",TRUE
